ID,Edad,Experiencia_Previa,Tipo_Ejercicio_Preferido,Frecuencia_Semanal_Planeada,Objetivo_Principal,Tiempo_Disponible_Sesion,Duración_Adherencia_Meses
546,68,4,Natación,3,Rendimiento deportivo,63,35
547,22,0,Yoga,3,Flexibilidad,66,21
548,67,2,Pesas,4,Resistencia,34,7
549,67,2,Cardio,1,Pérdida de peso,72,16
550,68,8,Cardio,3,Mantenimiento,92,16
551,55,7,Yoga,4,Mantenimiento,62,22
552,61,2,Cardio,5,Resistencia,31,12
553,42,4,Pilates,3,Tonificación,63,30
554,34,4,Pesas,2,Flexibilidad,62,26
555,55,6,Yoga,4,Resistencia,96,16
556,37,7,Yoga,5,Rehabilitación,102,17
557,44,1,Funcional,2,Resistencia,105,4
558,57,10,Boxeo,7,Tonificación,40,12
559,52,6,Boxeo,1,Tonificación,66,6
560,50,8,CrossFit,1,Resistencia,99,34
561,68,7,Natación,3,Resistencia,68,23
562,26,3,Pesas,3,Ganancia muscular,30,30
563,43,1,Yoga,2,Flexibilidad,40,26
564,32,4,Funcional,3,Rendimiento deportivo,105,31
565,41,2,Boxeo,5,Rendimiento deportivo,61,32
566,21,3,Pesas,2,Tonificación,104,4
567,63,2,Cardio,7,Rendimiento deportivo,69,18
568,67,2,CrossFit,3,Pérdida de peso,120,8
569,67,9,Boxeo,2,Pérdida de peso,65,32
570,53,5,Boxeo,4,Rehabilitación,75,28
571,48,3,Natación,4,Flexibilidad,69,35
572,67,5,Yoga,2,Flexibilidad,64,28
573,55,5,Natación,2,Mantenimiento,64,26
574,70,5,Pesas,6,Ganancia muscular,120,21
575,49,5,Funcional,1,Pérdida de peso,67,9
576,69,6,Boxeo,3,Resistencia,65,24
577,18,0,Funcional,1,Tonificación,96,14
578,32,4,Pilates,1,Resistencia,104,27
579,49,4,Yoga,1,Mantenimiento,120,6
580,36,5,Pilates,2,Ganancia muscular,98,18
581,23,0,Pilates,1,Rehabilitación,65,6
582,31,6,Pesas,3,Ganancia muscular,45,5
583,66,7,Cardio,5,Ganancia muscular,75,15
584,21,3,Cardio,4,Mantenimiento,95,11
585,37,1,CrossFit,5,Ganancia muscular,35,1
586,55,6,Pilates,4,Pérdida de peso,69,16
587,45,8,Yoga,1,Flexibilidad,45,8
588,65,7,Funcional,2,Ganancia muscular,42,8
589,18,2,CrossFit,3,Mantenimiento,74,18
590,65,9,Natación,7,Ganancia muscular,99,9
591,68,4,Yoga,4,Flexibilidad,95,10
592,50,4,Funcional,1,Ganancia muscular,102,32
593,59,3,Natación,1,Pérdida de peso,60,18
594,20,1,CrossFit,3,Tonificación,120,9
595,59,2,Natación,1,Mantenimiento,72,19
596,59,10,Boxeo,1,Flexibilidad,120,30
597,51,6,CrossFit,3,Resistencia,69,27
598,54,2,Funcional,3,Resistencia,35,25
599,30,3,Cardio,6,Tonificación,71,13
600,28,1,Cardio,7,Mantenimiento,33,31
601,22,2,CrossFit,1,Resistencia,97,4
602,26,6,Cardio,1,Ganancia muscular,74,32
603,27,3,Cardio,2,Tonificación,67,2
604,32,3,CrossFit,4,Mantenimiento,97,19
605,20,0,Yoga,3,Pérdida de peso,67,32
606,47,3,Boxeo,1,Ganancia muscular,32,14
607,38,8,Funcional,2,Mantenimiento,37,3
608,29,0,Boxeo,2,Rehabilitación,103,14
609,27,2,Cardio,2,Mantenimiento,120,27
610,52,9,CrossFit,1,Ganancia muscular,91,34
611,53,2,Funcional,3,Tonificación,62,13
612,37,6,Natación,6,Flexibilidad,67,17
613,29,6,CrossFit,4,Tonificación,70,35
614,49,3,Pilates,2,Resistencia,101,36
615,43,6,Funcional,2,Flexibilidad,120,5
616,67,2,Funcional,4,Pérdida de peso,103,13
617,55,3,Funcional,2,Mantenimiento,61,23
618,33,4,Cardio,1,Resistencia,120,3
619,19,1,Boxeo,5,Rendimiento deportivo,34,12
620,36,1,Pesas,4,Rendimiento deportivo,69,14
621,56,5,Pesas,7,Resistencia,120,35
622,50,2,Cardio,3,Rehabilitación,91,30
623,65,4,Funcional,1,Resistencia,120,16
624,53,4,Natación,4,Rendimiento deportivo,62,7
625,36,8,Pesas,3,Mantenimiento,63,35
626,27,5,Boxeo,4,Flexibilidad,75,2
627,46,2,Cardio,4,Mantenimiento,70,9
628,47,3,Boxeo,4,Rendimiento deportivo,31,34
629,26,5,Natación,4,Resistencia,102,36
630,63,4,Natación,3,Mantenimiento,36,25
631,19,1,Pilates,2,Resistencia,120,9
632,39,3,Pilates,3,Flexibilidad,68,31
633,22,3,Funcional,4,Tonificación,101,21
634,41,4,Natación,4,Rehabilitación,71,13
635,34,6,Pilates,3,Mantenimiento,97,2
636,66,6,Pesas,3,Pérdida de peso,42,1
637,25,2,Yoga,5,Tonificación,120,4
638,70,5,Yoga,3,Flexibilidad,120,4
639,21,0,Boxeo,2,Resistencia,104,22
640,69,4,Yoga,4,Resistencia,61,26
641,21,1,CrossFit,4,Rehabilitación,64,14
642,44,5,Pesas,4,Pérdida de peso,120,33
643,38,7,CrossFit,3,Flexibilidad,95,16
644,23,1,Natación,6,Rendimiento deportivo,95,9
645,31,6,Pilates,2,Ganancia muscular,70,35
646,70,6,CrossFit,6,Rendimiento deportivo,93,2
647,32,2,Yoga,3,Tonificación,62,2
648,60,7,Pesas,4,Flexibilidad,96,23
649,40,1,Natación,3,Ganancia muscular,120,31
650,38,7,Pesas,2,Tonificación,100,18
651,62,9,Funcional,2,Rendimiento deportivo,120,20
652,39,2,Pesas,2,Resistencia,98,18
653,44,7,Natación,2,Rendimiento deportivo,103,9
654,48,1,CrossFit,2,Resistencia,39,26
655,27,6,Boxeo,4,Flexibilidad,64,24
656,69,8,Funcional,3,Rendimiento deportivo,42,29
657,23,1,Natación,3,Tonificación,96,6
658,63,4,Pesas,2,Resistencia,105,35
659,33,6,Yoga,2,Rehabilitación,73,5
660,41,7,Cardio,1,Rehabilitación,72,20
661,28,6,Boxeo,3,Rendimiento deportivo,32,21
662,56,5,Natación,2,Tonificación,35,20
663,26,3,Natación,4,Rendimiento deportivo,90,5
664,47,8,Pilates,1,Flexibilidad,120,24
665,70,3,Pesas,3,Ganancia muscular,69,36
666,29,1,Yoga,3,Pérdida de peso,99,2
667,68,3,Funcional,4,Resistencia,45,8
668,59,2,Boxeo,3,Resistencia,36,3
669,21,0,Boxeo,6,Rendimiento deportivo,34,25
670,48,6,Boxeo,4,Ganancia muscular,63,20
671,57,2,Pilates,2,Mantenimiento,73,16
672,33,2,Pesas,2,Ganancia muscular,67,31
673,18,0,Natación,2,Flexibilidad,41,10
674,32,2,Yoga,4,Mantenimiento,104,24
675,26,4,Yoga,2,Mantenimiento,91,19
676,22,2,Funcional,6,Mantenimiento,63,21
677,70,9,Pilates,3,Flexibilidad,120,9
678,26,1,Cardio,2,Resistencia,61,30
679,34,5,Pilates,4,Pérdida de peso,33,3
680,26,4,Boxeo,3,Mantenimiento,67,13
681,57,7,Pesas,2,Mantenimiento,42,5
682,37,3,Funcional,3,Flexibilidad,31,9
683,38,7,Pesas,4,Flexibilidad,104,20
684,56,2,Funcional,1,Ganancia muscular,103,30
685,62,10,Natación,2,Mantenimiento,90,8
686,57,2,Funcional,2,Rendimiento deportivo,90,10
687,34,2,Funcional,1,Resistencia,60,30
688,37,5,Yoga,4,Mantenimiento,120,3
689,49,4,Pesas,3,Tonificación,99,13
690,61,7,Funcional,4,Rehabilitación,90,14
691,44,3,Pilates,3,Rehabilitación,120,28
692,38,2,Natación,3,Pérdida de peso,65,7
693,21,3,Pilates,6,Tonificación,95,5
694,63,9,Pesas,4,Flexibilidad,91,1
695,46,6,Funcional,7,Ganancia muscular,94,10
696,31,1,Yoga,1,Rehabilitación,95,7
697,21,1,Funcional,3,Mantenimiento,41,15
698,25,2,Pesas,4,Mantenimiento,71,11
699,64,7,Funcional,3,Ganancia muscular,38,23
700,54,5,Yoga,4,Flexibilidad,94,7
701,18,1,Natación,1,Pérdida de peso,99,24
702,38,1,Pilates,3,Rendimiento deportivo,99,11
703,27,0,Boxeo,7,Tonificación,100,25
704,37,3,Funcional,4,Resistencia,43,20
705,64,3,Funcional,1,Flexibilidad,94,34
706,50,2,CrossFit,3,Flexibilidad,31,28
707,27,0,Boxeo,6,Pérdida de peso,71,10
708,21,1,Pilates,3,Resistencia,68,8
709,21,0,CrossFit,1,Flexibilidad,71,25
710,41,5,Boxeo,3,Pérdida de peso,67,4
711,27,6,CrossFit,2,Pérdida de peso,120,19
712,53,5,Yoga,3,Rendimiento deportivo,100,30
713,24,3,Funcional,5,Resistencia,33,13
714,45,5,Funcional,4,Resistencia,70,20
715,21,2,Cardio,2,Rehabilitación,91,22
716,55,7,Pilates,4,Mantenimiento,120,30
717,66,5,Natación,1,Rendimiento deportivo,42,19
718,35,4,Pilates,3,Resistencia,41,7
719,28,3,Pilates,5,Ganancia muscular,99,29
720,39,4,Pilates,3,Rendimiento deportivo,91,29
721,46,1,Yoga,3,Resistencia,96,24
722,29,6,Boxeo,3,Rendimiento deportivo,31,7
723,43,5,Pilates,1,Mantenimiento,67,26
724,35,2,Pilates,2,Flexibilidad,72,21
725,20,3,Pilates,4,Rehabilitación,73,22
726,27,6,Boxeo,1,Flexibilidad,72,33
727,49,3,Pesas,2,Rendimiento deportivo,66,13
728,44,3,Pilates,7,Tonificación,34,17
729,36,8,Pilates,3,Ganancia muscular,72,36
730,64,4,Yoga,3,Rendimiento deportivo,98,32
731,51,9,Boxeo,4,Tonificación,93,26
732,53,4,Natación,3,Rehabilitación,120,18
733,32,3,Natación,5,Mantenimiento,33,14
734,61,7,Funcional,1,Pérdida de peso,60,32
735,22,3,Funcional,4,Pérdida de peso,94,11
736,57,3,Natación,5,Rendimiento deportivo,62,15
737,34,0,Pesas,2,Pérdida de peso,64,16
738,27,6,CrossFit,6,Pérdida de peso,96,26
739,60,8,Funcional,4,Rehabilitación,104,35
740,70,9,CrossFit,3,Resistencia,61,24
741,42,2,CrossFit,3,Tonificación,36,11
742,24,3,Pilates,5,Ganancia muscular,68,25
743,51,4,Pesas,2,Ganancia muscular,71,26
744,52,7,Pesas,5,Rehabilitación,69,29
745,67,8,Funcional,3,Resistencia,73,13
746,44,1,Boxeo,5,Flexibilidad,93,30
747,67,3,Boxeo,3,Rehabilitación,120,13
748,53,7,Natación,3,Pérdida de peso,105,18
749,60,7,Cardio,5,Tonificación,120,23
750,27,6,Boxeo,6,Ganancia muscular,91,3
751,48,1,Pesas,3,Rendimiento deportivo,120,8
752,55,6,Yoga,3,Rehabilitación,120,25
753,50,9,Cardio,2,Rendimiento deportivo,94,22
754,23,2,Boxeo,6,Flexibilidad,92,16
755,18,3,Natación,5,Rendimiento deportivo,94,17
756,33,6,Pilates,5,Mantenimiento,93,7
757,32,0,Pilates,4,Tonificación,98,10
758,49,7,Pilates,5,Rendimiento deportivo,63,28
759,61,8,CrossFit,3,Ganancia muscular,43,16
760,30,0,Natación,2,Flexibilidad,120,2
761,56,3,Natación,5,Resistencia,67,27
762,64,6,Natación,3,Resistencia,70,12
763,31,5,Funcional,5,Mantenimiento,64,3
764,39,3,Funcional,3,Ganancia muscular,66,18
765,19,2,Yoga,5,Mantenimiento,42,18
766,42,1,Cardio,3,Resistencia,44,28
767,68,5,Funcional,3,Resistencia,120,15
768,25,0,Pesas,3,Mantenimiento,38,22
769,63,8,Pesas,5,Rendimiento deportivo,67,23
770,25,4,Funcional,3,Rehabilitación,61,34
771,48,8,Boxeo,2,Tonificación,44,36
772,23,3,CrossFit,1,Pérdida de peso,99,25
773,41,6,Pesas,3,Pérdida de peso,60,8
774,28,0,Funcional,5,Rendimiento deportivo,95,34
775,26,2,Boxeo,4,Rehabilitación,69,23
776,46,5,CrossFit,2,Flexibilidad,97,36
777,23,2,Natación,5,Rendimiento deportivo,67,9
778,59,6,Natación,3,Rehabilitación,72,32
779,60,2,CrossFit,2,Pérdida de peso,44,15
780,20,0,Cardio,3,Rehabilitación,91,30
781,61,10,Pilates,2,Rehabilitación,120,10
782,39,6,Pesas,3,Tonificación,72,19
783,39,3,Natación,7,Resistencia,39,9
784,54,9,Natación,2,Flexibilidad,120,20
785,56,7,Funcional,5,Mantenimiento,75,1
786,44,4,Pilates,2,Resistencia,44,30
787,66,4,Cardio,4,Tonificación,120,32
788,43,5,Boxeo,3,Flexibilidad,44,27
789,60,3,Funcional,4,Tonificación,31,28
790,68,5,Natación,3,Mantenimiento,72,25
791,37,7,Cardio,4,Ganancia muscular,120,16
792,24,3,CrossFit,2,Mantenimiento,120,14
793,24,0,Natación,2,Tonificación,120,32
794,50,9,Funcional,4,Rehabilitación,97,15
795,28,3,Boxeo,3,Resistencia,37,2
796,31,2,Pilates,7,Flexibilidad,75,5
797,30,1,Yoga,4,Flexibilidad,60,35
798,40,4,Funcional,4,Flexibilidad,37,34
799,69,10,Cardio,6,Rehabilitación,120,7
800,39,3,Boxeo,2,Resistencia,91,9
801,45,4,Pesas,7,Rendimiento deportivo,37,2
802,66,2,Natación,3,Ganancia muscular,38,36
803,40,3,Pilates,4,Pérdida de peso,75,15
804,63,3,Cardio,3,Resistencia,93,21
805,51,9,Pesas,5,Rehabilitación,68,18
806,49,4,Funcional,4,Rehabilitación,120,35
807,44,7,Funcional,2,Tonificación,32,6
808,28,2,Pesas,3,Pérdida de peso,73,26
809,57,2,Pesas,5,Flexibilidad,74,28
810,47,2,Boxeo,2,Rehabilitación,90,29
811,26,0,Pesas,6,Rehabilitación,64,14
812,65,5,Yoga,2,Flexibilidad,37,19
813,28,3,Boxeo,4,Pérdida de peso,32,9
814,37,8,Pesas,3,Pérdida de peso,66,15
815,22,3,Yoga,1,Rehabilitación,94,30
816,29,0,Cardio,3,Rehabilitación,60,11
817,47,4,Pesas,1,Mantenimiento,93,27
818,21,1,Yoga,2,Mantenimiento,32,8
819,31,0,CrossFit,3,Rehabilitación,61,22
820,43,3,Cardio,3,Rendimiento deportivo,103,15
821,39,6,CrossFit,3,Resistencia,120,2
822,22,2,Pilates,3,Flexibilidad,120,23
823,24,1,Cardio,1,Tonificación,63,24
824,56,5,Pilates,2,Pérdida de peso,72,17
825,31,4,CrossFit,4,Rehabilitación,74,25
826,65,3,Pilates,5,Mantenimiento,120,27
827,39,3,Yoga,7,Pérdida de peso,120,11
828,67,5,Boxeo,7,Rehabilitación,101,26
829,47,7,Pilates,2,Tonificación,97,23
830,24,0,CrossFit,2,Ganancia muscular,74,12
831,23,3,CrossFit,5,Rendimiento deportivo,75,7
832,51,8,Yoga,4,Resistencia,42,11
833,67,8,Cardio,3,Rehabilitación,90,22
834,28,4,Pesas,4,Tonificación,63,16
835,48,3,Natación,4,Flexibilidad,120,16
836,35,5,Pilates,3,Resistencia,75,34
837,23,2,CrossFit,7,Mantenimiento,66,19
838,29,3,Funcional,4,Pérdida de peso,62,33
839,60,4,CrossFit,3,Flexibilidad,67,17
840,23,1,Pilates,1,Resistencia,60,30
841,43,4,Cardio,1,Pérdida de peso,37,15
842,32,4,Yoga,5,Ganancia muscular,92,29
843,32,6,Pilates,1,Resistencia,62,5
844,50,7,Yoga,1,Tonificación,101,15
845,68,8,Pesas,4,Rendimiento deportivo,37,3
846,33,0,Yoga,7,Ganancia muscular,104,1
847,29,5,Yoga,3,Rendimiento deportivo,73,18
848,44,3,Pilates,2,Tonificación,64,31
849,18,3,Yoga,3,Ganancia muscular,100,27
850,26,5,Yoga,1,Rendimiento deportivo,105,18
851,20,0,Funcional,4,Mantenimiento,35,32
852,62,9,Pesas,2,Tonificación,44,17
853,32,0,Boxeo,3,Resistencia,120,25
854,54,10,Yoga,4,Rendimiento deportivo,75,6
855,45,2,Boxeo,4,Mantenimiento,98,35
856,26,5,Pesas,3,Flexibilidad,120,34
857,43,8,Cardio,6,Ganancia muscular,68,9
858,49,2,Pilates,3,Mantenimiento,120,1
859,22,1,Pilates,6,Tonificación,92,11
860,30,1,Boxeo,2,Flexibilidad,31,19
861,26,5,Pesas,2,Pérdida de peso,120,15
862,30,1,Cardio,4,Mantenimiento,120,9
863,37,2,CrossFit,4,Flexibilidad,68,31
864,28,6,CrossFit,2,Ganancia muscular,61,18
865,33,5,Pilates,3,Pérdida de peso,74,15
866,47,5,Yoga,1,Pérdida de peso,96,25
867,18,0,Boxeo,4,Pérdida de peso,65,12
868,38,8,Yoga,3,Rendimiento deportivo,44,4
869,21,1,Funcional,2,Flexibilidad,68,2
870,66,6,Yoga,4,Resistencia,102,25
871,21,0,Yoga,3,Rendimiento deportivo,68,14
872,47,7,Pesas,3,Tonificación,61,1
873,66,8,Pilates,4,Pérdida de peso,40,22
874,36,2,Boxeo,4,Flexibilidad,72,24
875,44,7,Yoga,3,Pérdida de peso,62,23
876,51,8,CrossFit,2,Mantenimiento,61,24
877,38,7,Yoga,4,Ganancia muscular,45,26
878,34,3,Boxeo,3,Rehabilitación,75,26
879,70,4,CrossFit,3,Ganancia muscular,43,32
880,50,8,Natación,1,Rehabilitación,66,3
881,57,8,CrossFit,3,Resistencia,62,13
882,27,2,Boxeo,3,Rehabilitación,31,6
883,28,0,Pesas,2,Rendimiento deportivo,70,33
884,29,1,CrossFit,1,Mantenimiento,97,7
885,58,2,Natación,1,Rehabilitación,96,33
886,29,0,Cardio,2,Pérdida de peso,120,8
887,46,2,Natación,3,Mantenimiento,120,27
888,66,2,Cardio,4,Flexibilidad,67,21
889,45,8,CrossFit,2,Flexibilidad,70,3
890,19,0,Pesas,4,Tonificación,120,33
891,27,0,Pesas,2,Rendimiento deportivo,100,2
892,66,4,Pilates,7,Resistencia,36,18
893,37,4,Natación,6,Tonificación,42,26
894,20,2,Funcional,5,Mantenimiento,120,27
895,30,5,Natación,7,Mantenimiento,105,1
896,42,6,Yoga,3,Mantenimiento,105,24
897,50,2,Funcional,4,Tonificación,69,36
898,28,0,Funcional,3,Resistencia,120,22
899,53,5,Pilates,5,Tonificación,33,21
900,55,10,Yoga,2,Ganancia muscular,120,11
901,52,8,CrossFit,5,Rehabilitación,68,33
902,47,1,Boxeo,3,Rendimiento deportivo,42,4
903,31,6,Yoga,3,Ganancia muscular,91,1
904,34,4,Pilates,2,Resistencia,61,13
905,47,8,Funcional,2,Flexibilidad,36,16
906,37,8,Yoga,7,Flexibilidad,120,33
907,68,4,Funcional,3,Rehabilitación,33,13
908,58,9,CrossFit,3,Tonificación,95,33
909,55,3,Yoga,5,Rehabilitación,61,33
910,22,0,Pilates,3,Mantenimiento,70,2
911,58,4,CrossFit,1,Ganancia muscular,30,23
912,49,2,Yoga,2,Rehabilitación,67,28
913,25,0,Yoga,2,Mantenimiento,44,35
914,39,6,Pilates,5,Pérdida de peso,40,2
915,61,6,Pilates,1,Rendimiento deportivo,103,10
916,20,3,Cardio,1,Ganancia muscular,72,33
917,58,3,Funcional,3,Ganancia muscular,120,29
918,18,2,Pesas,6,Rehabilitación,97,30
919,26,6,Pesas,3,Tonificación,72,24
920,46,1,Natación,5,Mantenimiento,63,32
921,25,4,Boxeo,5,Rehabilitación,66,31
922,54,7,Cardio,2,Resistencia,90,1
923,31,5,Pesas,6,Rehabilitación,74,20
924,61,10,Funcional,4,Mantenimiento,60,30
925,33,2,Funcional,2,Pérdida de peso,66,10
926,20,0,Natación,1,Ganancia muscular,68,11
927,55,6,Boxeo,7,Mantenimiento,69,34
928,40,7,Funcional,3,Flexibilidad,66,33
929,20,1,Funcional,2,Rendimiento deportivo,65,6
930,23,3,Boxeo,3,Resistencia,98,7
931,47,4,Funcional,4,Pérdida de peso,65,13
932,51,8,Pesas,4,Flexibilidad,65,13
933,66,3,Cardio,5,Tonificación,96,8
934,32,1,Cardio,3,Rendimiento deportivo,65,16
935,54,10,Boxeo,3,Tonificación,62,4
936,46,3,Pilates,2,Mantenimiento,62,11
937,66,10,CrossFit,2,Tonificación,44,21
938,36,6,Yoga,3,Pérdida de peso,120,7
939,70,3,Boxeo,3,Rendimiento deportivo,120,24
940,53,5,Boxeo,3,Pérdida de peso,42,27
941,42,1,Cardio,3,Pérdida de peso,35,10
942,45,3,Yoga,4,Mantenimiento,61,29
943,38,5,Natación,3,Flexibilidad,120,22
944,48,2,Natación,2,Pérdida de peso,32,18
945,56,4,Yoga,7,Flexibilidad,70,31
946,43,1,Pesas,4,Flexibilidad,94,27
947,24,0,Natación,7,Tonificación,44,1
948,33,3,Funcional,6,Resistencia,120,17
949,28,4,Pilates,3,Resistencia,73,26
950,66,9,Pesas,3,Mantenimiento,39,24
951,66,10,Cardio,3,Mantenimiento,61,24
952,44,8,Pesas,3,Rendimiento deportivo,67,6
953,51,8,Pilates,2,Pérdida de peso,120,9
954,49,1,Pesas,5,Tonificación,74,22
955,40,4,CrossFit,2,Rendimiento deportivo,98,3
956,50,10,Funcional,3,Mantenimiento,40,30
957,50,7,Boxeo,3,Ganancia muscular,70,31
958,52,7,Boxeo,4,Ganancia muscular,61,24
959,27,1,Yoga,2,Pérdida de peso,120,10
960,57,5,Funcional,1,Rehabilitación,33,2
961,30,1,Boxeo,1,Mantenimiento,34,32
962,47,5,Pesas,3,Rendimiento deportivo,69,17
963,31,5,Pesas,3,Rendimiento deportivo,44,32
964,37,1,Yoga,5,Ganancia muscular,68,16
965,64,3,Cardio,2,Flexibilidad,68,35
966,26,0,Natación,4,Flexibilidad,120,35
967,23,1,Pesas,3,Pérdida de peso,120,26
968,50,5,Natación,4,Flexibilidad,66,13
969,34,5,CrossFit,1,Rendimiento deportivo,61,29
970,23,3,Pesas,3,Flexibilidad,93,21
971,32,0,Natación,5,Resistencia,98,30
972,42,6,Natación,3,Rehabilitación,75,34
973,41,4,Yoga,3,Rendimiento deportivo,105,20
974,19,0,Pilates,2,Mantenimiento,31,17
975,53,8,Pesas,4,Resistencia,61,2
976,42,4,Natación,3,Ganancia muscular,33,9
977,33,1,Pesas,1,Flexibilidad,94,13
978,28,6,Yoga,4,Ganancia muscular,93,6
979,39,8,Boxeo,3,Rendimiento deportivo,67,3
980,54,4,Pesas,1,Flexibilidad,75,17
981,22,0,Yoga,5,Resistencia,120,26
982,66,9,CrossFit,7,Mantenimiento,65,26
983,24,2,Pilates,3,Ganancia muscular,69,18
984,35,8,Natación,2,Rehabilitación,36,19
985,70,7,Funcional,3,Flexibilidad,34,18
986,49,4,Natación,4,Resistencia,120,2
987,40,5,Boxeo,4,Flexibilidad,70,2
988,49,4,Boxeo,4,Rendimiento deportivo,95,23
989,69,4,Natación,4,Rendimiento deportivo,60,17
990,67,9,Yoga,3,Mantenimiento,73,7
991,59,9,Yoga,7,Ganancia muscular,91,17
992,19,1,Cardio,2,Rendimiento deportivo,92,16
993,19,0,Funcional,1,Flexibilidad,92,8
994,26,1,Pesas,2,Ganancia muscular,75,30
995,53,8,Funcional,2,Mantenimiento,70,27
996,27,3,CrossFit,2,Rendimiento deportivo,74,24
997,68,3,Boxeo,4,Pérdida de peso,63,18
998,22,1,Pilates,1,Resistencia,60,13
999,38,1,Yoga,5,Flexibilidad,98,25
1000,68,5,Natación,6,Rehabilitación,63,32
1001,19,0,Cardio,6,Rehabilitación,103,10
1002,60,3,Funcional,4,Tonificación,75,9
1003,49,5,CrossFit,2,Rendimiento deportivo,38,11
1004,32,4,Cardio,4,Flexibilidad,94,26
1005,69,4,Funcional,3,Tonificación,38,11
1006,58,2,Pilates,5,Resistencia,63,26
1007,46,4,CrossFit,3,Mantenimiento,72,31
1008,53,3,Boxeo,2,Ganancia muscular,75,25
1009,38,5,Funcional,1,Resistencia,120,22
1010,29,0,Pesas,3,Tonificación,91,2
1011,65,3,Cardio,3,Tonificación,64,29
1012,37,7,Boxeo,3,Tonificación,104,8
1013,45,4,Cardio,2,Rendimiento deportivo,105,29
1014,33,3,Pilates,4,Rendimiento deportivo,39,30
1015,48,2,Yoga,2,Ganancia muscular,92,23
1016,24,0,Cardio,2,Rendimiento deportivo,120,31
1017,22,2,Pilates,2,Resistencia,120,16
1018,57,5,CrossFit,1,Tonificación,120,3
1019,59,8,Yoga,7,Mantenimiento,38,3
1020,46,3,Yoga,2,Ganancia muscular,74,16
1021,62,7,CrossFit,2,Rendimiento deportivo,45,32
1022,22,3,Natación,2,Flexibilidad,105,19
1023,34,4,Pilates,2,Resistencia,68,29
1024,40,3,Boxeo,7,Ganancia muscular,64,20
1025,37,2,Boxeo,7,Tonificación,43,22
1026,43,1,Pesas,4,Pérdida de peso,64,34
1027,40,5,CrossFit,3,Mantenimiento,96,24
1028,51,9,Cardio,4,Resistencia,120,24
1029,51,8,Cardio,2,Rehabilitación,36,27
1030,66,8,Funcional,1,Flexibilidad,101,4
1031,51,2,CrossFit,5,Mantenimiento,96,22
1032,47,1,Funcional,3,Tonificación,120,8
1033,40,6,CrossFit,3,Ganancia muscular,37,25
1034,67,4,Pilates,3,Mantenimiento,105,11
1035,20,2,Funcional,3,Ganancia muscular,69,35
1036,47,3,Boxeo,7,Ganancia muscular,36,11
1037,44,3,Pesas,1,Flexibilidad,75,6
1038,55,7,Boxeo,2,Ganancia muscular,73,36
1039,64,10,Pesas,3,Rehabilitación,94,13
1040,40,8,Cardio,2,Ganancia muscular,71,33
1041,50,2,Pesas,3,Resistencia,120,35
1042,54,9,Boxeo,4,Mantenimiento,120,2
1043,24,1,Pesas,3,Rendimiento deportivo,32,14
1044,36,1,CrossFit,2,Mantenimiento,73,36
1045,22,2,Boxeo,3,Resistencia,72,24
1046,39,8,Pilates,2,Tonificación,104,29
1047,55,5,CrossFit,3,Rehabilitación,62,16
1048,20,1,Funcional,5,Tonificación,120,33
1049,70,9,Pesas,3,Rehabilitación,102,3
1050,54,2,Yoga,3,Resistencia,98,27
1051,18,1,Pilates,1,Resistencia,98,31
1052,37,3,Pesas,3,Rehabilitación,67,25
1053,60,10,Natación,3,Rendimiento deportivo,32,32
1054,66,9,Funcional,2,Rehabilitación,90,34
1055,27,2,Yoga,1,Rehabilitación,97,16
1056,23,1,Pesas,4,Flexibilidad,99,21
1057,43,7,Pilates,2,Ganancia muscular,96,10
1058,57,9,Boxeo,5,Rendimiento deportivo,120,31
1059,29,3,Natación,1,Resistencia,39,29
1060,63,7,Pesas,1,Pérdida de peso,64,7
1061,67,4,Boxeo,3,Tonificación,36,11
1062,49,5,Pilates,4,Resistencia,45,34
1063,32,0,Cardio,3,Mantenimiento,75,25
1064,22,3,Yoga,4,Ganancia muscular,71,13
1065,27,0,Funcional,1,Mantenimiento,91,28
1066,42,4,CrossFit,3,Rendimiento deportivo,101,24
1067,33,0,Cardio,7,Flexibilidad,64,36
1068,38,6,Boxeo,2,Tonificación,66,28
1069,68,5,Natación,1,Flexibilidad,90,3
1070,20,2,CrossFit,3,Resistencia,91,31
1071,61,4,Cardio,5,Resistencia,70,30
1072,35,8,Pesas,2,Ganancia muscular,92,7
1073,42,7,Pilates,3,Rendimiento deportivo,103,11
1074,41,2,Pilates,2,Pérdida de peso,96,29
1075,21,0,Natación,4,Rehabilitación,120,6
1076,56,8,Cardio,3,Rendimiento deportivo,64,27
1077,28,3,Funcional,2,Flexibilidad,42,23
1078,24,2,Cardio,2,Resistencia,120,10
1079,37,1,Pesas,3,Flexibilidad,60,31
1080,22,3,Yoga,3,Flexibilidad,44,13
1081,44,7,Cardio,2,Resistencia,92,15
1082,59,10,Natación,2,Resistencia,40,4
1083,54,2,Yoga,6,Resistencia,98,26
1084,58,4,CrossFit,3,Tonificación,68,13
1085,28,6,Natación,1,Pérdida de peso,67,32
1086,41,1,Boxeo,3,Flexibilidad,90,9
1087,70,10,Natación,2,Tonificación,72,7
1088,68,7,Natación,7,Flexibilidad,75,19
1089,24,2,CrossFit,1,Ganancia muscular,38,22
1090,20,3,Boxeo,4,Rendimiento deportivo,71,10
1091,21,2,Pesas,1,Tonificación,35,20
1092,29,4,Yoga,4,Mantenimiento,73,5
1093,68,5,Yoga,2,Tonificación,66,23
